configuration,question_id,precision_at_3
BM25,1,1.0
BM25,2,1.0
BM25,3,1.0
BM25,4,0.3333333333333333
BM25,5,0.3333333333333333
BM25,6,1.0
BM25,7,1.0
BM25,8,1.0
BM25,9,1.0
BM25,10,0.0
C3,1,1.0
C3,2,1.0
C3,3,0.6666666666666666
C3,4,0.6666666666666666
C3,5,0.6666666666666666
C3,6,1.0
C3,7,1.0
C3,8,1.0
C3,9,1.0
C3,10,0.3333333333333333
H1,1,1.0
H1,2,1.0
H1,3,0.6666666666666666
H1,4,0.6666666666666666
H1,5,0.6666666666666666
H1,6,1.0
H1,7,1.0
H1,8,1.0
H1,9,1.0
H1,10,0.3333333333333333
H2,1,1.0
H2,2,1.0
H2,3,1.0
H2,4,0.6666666666666666
H2,5,0.6666666666666666
H2,6,1.0
H2,7,1.0
H2,8,1.0
H2,9,1.0
H2,10,0.3333333333333333
QT,1,1.0
QT,2,1.0
QT,3,0.6666666666666666
QT,4,0.6666666666666666
QT,5,1.0
QT,6,0.6666666666666666
QT,7,1.0
QT,8,1.0
QT,9,1.0
QT,10,0.3333333333333333
RRF,1,1.0
RRF,2,1.0
RRF,3,1.0
RRF,4,0.6666666666666666
RRF,5,0.6666666666666666
RRF,6,1.0
RRF,7,1.0
RRF,8,1.0
RRF,9,1.0
RRF,10,0.3333333333333333
Reranker,1,1.0
Reranker,2,1.0
Reranker,3,1.0
Reranker,4,1.0
Reranker,5,1.0
Reranker,6,1.0
Reranker,7,1.0
Reranker,8,1.0
Reranker,9,1.0
Reranker,10,0.6666666666666666
V1,1,1.0
V1,2,0.6666666666666666
V1,3,1.0
V1,4,1.0
V1,5,0.3333333333333333
V1,6,1.0
V1,7,1.0
V1,8,0.6666666666666666
V1,9,1.0
V1,10,0.6666666666666666
