question_id,question,paper,page,passage,relevant,confidence,reason
1,"What problem does Retrieval-Augmented Generation aim to address, and why can a language model's parametric knowledge be insufficient?",Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,1,"outperforming parametric seq2seq models and task-speciﬁc retrieve-and-extract architectures. For language generation tasks, we ﬁnd that RAG models generate more speciﬁc, diverse and factual language than a state-of-the-art parametric-only seq2seq baseline. 1 Introduction Pre-trained neural language models have been shown to learn a substantial amount of in-depth knowl- edge from data [47]. They can do so without any access to an external memory, as a parameterized implicit knowledge base [51, 52]. While this development is exciting, such models do have down- sides: They cannot easily expand or revise their memory, can’t straightforwardly provide insight into their predictions, and may produce “hallucinations” [38]. Hybrid models that combine parametric memory with non-parametric (i.e., retrieval-based) memories [20, 26, 48] can address some of these issues because knowledge can be directly revised and expanded, and accessed knowledge can be",1,high,"The passage directly explains that RAG addresses limitations of parametric-only language models, including difficulty revising or expanding knowledge, lack of prediction transparency, and hallucinations, by adding retrievable non-parametric memory."
1,"What problem does Retrieval-Augmented Generation aim to address, and why can a language model's parametric knowledge be insufficient?",Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,1,"Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks Patrick Lewis†‡, Ethan Perez⋆, Aleksandra Piktus†, Fabio Petroni†, Vladimir Karpukhin†, Naman Goyal†, Heinrich Küttler†, Mike Lewis†, Wen-tau Yih†, Tim Rocktäschel†‡, Sebastian Riedel†‡, Douwe Kiela† †Facebook AI Research;‡University College London;⋆New York University; plewis@fb.com Abstract Large pre-trained language models have been shown to store factual knowledge in their parameters, and achieve state-of-the-art results when ﬁne-tuned on down- stream NLP tasks. However, their ability to access and precisely manipulate knowl- edge is still limited, and hence on knowledge-intensive tasks, their performance lags behind task-speciﬁc architectures. Additionally, providing provenance for their decisions and updating their world knowledge remain open research problems. Pre- trained models with a differentiable access mechanism to explicit non-parametric",1,high,"The passage directly states that parametric language-model knowledge is limited in precise access and manipulation, causing weaker performance on knowledge-intensive tasks, and also notes difficulties with provenance and updating world knowledge—key problems RAG aims to address."
1,"What problem does Retrieval-Augmented Generation aim to address, and why can a language model's parametric knowledge be insufficient?",Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,1,"trained models with a differentiable access mechanism to explicit non-parametric memory have so far been only investigated for extractive downstream tasks. We explore a general-purpose ﬁne-tuning recipe for retrieval-augmented generation (RAG) — models which combine pre-trained parametric and non-parametric mem- ory for language generation. We introduce RAG models where the parametric memory is a pre-trained seq2seq model and the non-parametric memory is a dense vector index of Wikipedia, accessed with a pre-trained neural retriever. We com- pare two RAG formulations, one which conditions on the same retrieved passages across the whole generated sequence, and another which can use different passages per token. We ﬁne-tune and evaluate our models on a wide range of knowledge- intensive NLP tasks and set the state of the art on three open domain QA tasks, outperforming parametric seq2seq models and task-speciﬁc retrieve-and-extract",1,medium,"The passage explains that RAG supplements a pretrained model’s parametric memory with retrieved external knowledge and shows benefits on knowledge-intensive tasks, though it does not explicitly detail why parametric knowledge alone is insufficient."
2,How does RAG combine parametric and non-parametric memory during generation?,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,9,"approaches, where a similar training input-output pair is retrieved for a given input, and then edited to provide a ﬁnal output. These approaches have proved successful in a number of domains including Machine Translation [ 18, 22] and Semantic Parsing [21]. Our approach does have several differences, including less of emphasis on lightly editing a retrieved item, but on aggregating content from several pieces of retrieved content, as well as learning latent retrieval, and retrieving evidence documents rather than related training pairs. This said, RAG techniques may work well in these settings, and could represent promising future work. 6 Discussion In this work, we presented hybrid generation models with access to parametric and non-parametric memory. We showed that our RAG models obtain state of the art results on open-domain QA. We found that people prefer RAG’s generation over purely parametric BART, ﬁnding RAG more factual",1,medium,The passage describes RAG as a hybrid model that uses parametric memory alongside non-parametric retrieved evidence and aggregates content from multiple retrieved documents during generation.
2,How does RAG combine parametric and non-parametric memory during generation?,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,2,"parametric and non-parametric memory components are pre-trained and pre-loaded with extensive knowledge. Crucially, by using pre-trained access mechanisms, the ability to access knowledge is present without additional training. Our results highlight the beneﬁts of combining parametric and non-parametric memory with genera- tion for knowledge-intensive tasks—tasks that humans could not reasonably be expected to perform without access to an external knowledge source. Our RAG models achieve state-of-the-art results on open Natural Questions [29], WebQuestions [3] and CuratedTrec [2] and strongly outperform recent approaches that use specialised pre-training objectives on TriviaQA [24]. Despite these being extractive tasks, we ﬁnd that unconstrained generation outperforms previous extractive approaches. For knowledge-intensive generation, we experiment with MS-MARCO [1] and Jeopardy question generation, and we ﬁnd that our models generate responses that are more factual, speciﬁc, and",0,high,"The passage reports benefits and results from combining parametric and non-parametric memory, but does not explain the mechanism by which RAG combines them during generation."
2,How does RAG combine parametric and non-parametric memory during generation?,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,1,"trained models with a differentiable access mechanism to explicit non-parametric memory have so far been only investigated for extractive downstream tasks. We explore a general-purpose ﬁne-tuning recipe for retrieval-augmented generation (RAG) — models which combine pre-trained parametric and non-parametric mem- ory for language generation. We introduce RAG models where the parametric memory is a pre-trained seq2seq model and the non-parametric memory is a dense vector index of Wikipedia, accessed with a pre-trained neural retriever. We com- pare two RAG formulations, one which conditions on the same retrieved passages across the whole generated sequence, and another which can use different passages per token. We ﬁne-tune and evaluate our models on a wide range of knowledge- intensive NLP tasks and set the state of the art on three open domain QA tasks, outperforming parametric seq2seq models and task-speciﬁc retrieve-and-extract",1,high,"The passage directly explains that RAG combines a pre-trained seq2seq model as parametric memory with a retriever-accessed dense Wikipedia index as non-parametric memory, conditioning generation on retrieved passages either sequence-wide or per token."
3,"How does RAG differ from a traditional language model that relies only on its parameters, particularly when dealing with knowledge-intensive tasks?",Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,9,"approaches, where a similar training input-output pair is retrieved for a given input, and then edited to provide a ﬁnal output. These approaches have proved successful in a number of domains including Machine Translation [ 18, 22] and Semantic Parsing [21]. Our approach does have several differences, including less of emphasis on lightly editing a retrieved item, but on aggregating content from several pieces of retrieved content, as well as learning latent retrieval, and retrieving evidence documents rather than related training pairs. This said, RAG techniques may work well in these settings, and could represent promising future work. 6 Discussion In this work, we presented hybrid generation models with access to parametric and non-parametric memory. We showed that our RAG models obtain state of the art results on open-domain QA. We found that people prefer RAG’s generation over purely parametric BART, ﬁnding RAG more factual",1,high,"The passage directly contrasts RAG’s combination of parametric and retrieved non-parametric evidence with purely parametric BART, noting better factuality and strong open-domain QA performance."
3,"How does RAG differ from a traditional language model that relies only on its parameters, particularly when dealing with knowledge-intensive tasks?",Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,1,"trained models with a differentiable access mechanism to explicit non-parametric memory have so far been only investigated for extractive downstream tasks. We explore a general-purpose ﬁne-tuning recipe for retrieval-augmented generation (RAG) — models which combine pre-trained parametric and non-parametric mem- ory for language generation. We introduce RAG models where the parametric memory is a pre-trained seq2seq model and the non-parametric memory is a dense vector index of Wikipedia, accessed with a pre-trained neural retriever. We com- pare two RAG formulations, one which conditions on the same retrieved passages across the whole generated sequence, and another which can use different passages per token. We ﬁne-tune and evaluate our models on a wide range of knowledge- intensive NLP tasks and set the state of the art on three open domain QA tasks, outperforming parametric seq2seq models and task-speciﬁc retrieve-and-extract",1,high,"The passage directly contrasts RAG’s combination of parametric memory with retrieved non-parametric Wikipedia memory against parameter-only seq2seq models, and reports superior performance on knowledge-intensive tasks."
3,"How does RAG differ from a traditional language model that relies only on its parameters, particularly when dealing with knowledge-intensive tasks?",Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,1,"outperforming parametric seq2seq models and task-speciﬁc retrieve-and-extract architectures. For language generation tasks, we ﬁnd that RAG models generate more speciﬁc, diverse and factual language than a state-of-the-art parametric-only seq2seq baseline. 1 Introduction Pre-trained neural language models have been shown to learn a substantial amount of in-depth knowl- edge from data [47]. They can do so without any access to an external memory, as a parameterized implicit knowledge base [51, 52]. While this development is exciting, such models do have down- sides: They cannot easily expand or revise their memory, can’t straightforwardly provide insight into their predictions, and may produce “hallucinations” [38]. Hybrid models that combine parametric memory with non-parametric (i.e., retrieval-based) memories [20, 26, 48] can address some of these issues because knowledge can be directly revised and expanded, and accessed knowledge can be",1,high,"The passage directly contrasts parametric-only models with RAG, explaining that retrieval-based external memory improves factuality and specificity while allowing knowledge to be revised, expanded, and inspected for knowledge-intensive tasks."
4,"What are the main differences between RAG-Sequence and RAG-Token, and how do they affect the documents used during generation?",Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,3,"byθ that generates a current token based on a context of the previousi− 1 tokensy1:i−1, the original inputx and a retrieved passagez. To train the retriever and generator end-to-end, we treat the retrieved document as a latent variable. We propose two models that marginalize over the latent documents in different ways to produce a distribution over generated text. In one approach, RAG-Sequence, the model uses the same document to predict each target token. The second approach, RAG-Token, can predict each target token based on a different document. In the following, we formally introduce both models and then describe the pη andpθ components, as well as the training and decoding procedure. 2.1 Models RAG-Sequence Model The RAG-Sequence model uses the same retrieved document to generate the complete sequence. Technically, it treats the retrieved document as a single latent variable that is marginalized to get the seq2seq probability p(y|x) via a top-K approximation. Concretely, the",1,high,"The passage directly states the key distinction: RAG-Sequence uses one retrieved document for the entire output sequence, while RAG-Token may use a different document for each generated token."
